,unique.cellid,CGP.cellid,CCLE.cellid,GSK.cellid,NCI60.cellid,GRAY.cellid,GNE.cellid,CTRP.cellid,CGP_EMTAB3610.cellid,CCLE_rnaseq.cellid,GDSC.SNP.cellid,Ben_Neel.cellid,CTRPv2.cellid,gCSI.cellid,GDSC1000.cellid,CGP.tissueid,CCLE.tissueid,GSK.tissueid,NCI60.tissueid,GRAY.tissueid,GNE.tissueid,CTRP.tissueid,CGP_EMTAB3610.tissueid,CCLE_rnaseq.tissueid,GDSC.SNP.tissueid,Cescon.cellid,Ben_Neel.tissueid,COSMIC.tissueid,unique.tissueid,CTRPv2.tissueid,gCSI.tissueid,GDSC1000.tissueid,Cleveland.cellid,Cleveland.tissueid
767,UM-UC-3,UM-UC-3,UM-UC-3,UMUC3,NA,NA,UM-UC-3,UMUC3,UM-UC-3,UM-UC-3,UM-UC-3,NA,UMUC3,UM-UC-3,UM-UC-3,urinary_tract,urinary_tract,bladder,NA,NA,Urinary Bladder,URINARY_TRACT,Bladder,urinary_tract,urogenital_system ,NA,NA,urinary_tract,urinary_tract,urinary_tract,Urinary,urinary_tract,UMUC3,urinary_tract
768,VA-ES-BJ,VA-ES-BJ,NA,NA,NA,NA,NA,NA,VA-ES-BJ,NA,VA-ES-BJ,NA,NA,NA,VA-ES-BJ,bone,NA,NA,NA,NA,NA,NA,Misc,NA,soft_tissue ,NA,NA,bone,bone,NA,NA,bone,NA,NA
769,VM-CUB-1,VM-CUB-1,VM-CUB1,NA,NA,NA,NA,NA,VM-CUB-1,VM-CUB1,VM-CUB-1,NA,VMCUB1,NA,VM-CUB-1,urinary_tract,urinary_tract,NA,NA,NA,NA,NA,Bladder,urinary_tract,urogenital_system ,NA,NA,urinary_tract,urinary_tract,urinary_tract,NA,urinary_tract,VMCUB1,urinary_tract
770,VMRC-MELG,VMRC-MELG,NA,NA,NA,NA,NA,NA,NA,NA,VMRC-MELG,NA,NA,NA,VMRC-MELG,skin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,skin,skin,NA,NA,skin,NA,NA
771,VMRC-RCZ,VMRC-RCZ,VMRC-RCZ,NA,NA,NA,NA,NA,VMRC-RCZ,VMRC-RCZ,NA,NA,VMRCRCZ,NA,VMRC-RCZ,kidney,kidney,NA,NA,NA,NA,NA,kidney,kidney,NA,NA,NA,kidney,kidney,kidney,NA,kidney,VMRCRCZ,kidney
772,WERI-Rb-1,WERI-Rb-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,eye,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,eye,eye,NA,NA,NA,NA,NA
773,WM-115,WM-115,WM-115,WM115,NA,NA,WM-115,NA,WM-115,WM-115,WM-115,NA,WM115,WM-115,WM-115,skin,skin,skin,NA,NA,Skin,NA,Skin,skin,skin ,NA,NA,skin,skin,skin,Skin,skin,WM115,skin
774,WSU-NHL,WSU-NHL,NA,NA,NA,NA,WSU-NHL,NA,WSU-NHL,NA,WSU-NHL,NA,NA,WSU-NHL,WSU-NHL,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,Blood,NA,Blood,NA,blood ,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA
775,YAPC,YAPC,YAPC,YAPC,NA,NA,YAPC,NA,YAPC,YAPC,YAPC,NA,YAPC,YAPC,YAPC,pancreas,pancreas,pancreas,NA,NA,Pancreas,NA,Pancreas,pancreas,pancreas ,NA,NA,pancreas,pancreas,pancreas,Pancreas,pancreas,NA,NA
776,YH-13,YH-13,YH-13,NA,NA,NA,NA,NA,YH-13,YH-13,YH-13,NA,YH13,NA,YH-13,central_nervous_system,central_nervous_system,NA,NA,NA,NA,NA,CNS,central_nervous_system,nervous_system ,NA,NA,central_nervous_system,central_nervous_system,central_nervous_system,NA,central_nervous_system,YH13,central_nervous_system
777,YKG-1,YKG-1,YKG1,NA,NA,NA,NA,NA,YKG-1,YKG1,YKG-1,NA,YKG1,NA,YKG-1,central_nervous_system,central_nervous_system,NA,NA,NA,NA,NA,Brain,central_nervous_system,nervous_system ,NA,NA,central_nervous_system,central_nervous_system,central_nervous_system,NA,central_nervous_system,YKG1,central_nervous_system
778,YT,YT,NA,NA,NA,NA,NA,NA,YT,NA,YT,NA,NA,NA,YT,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,blood ,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA
779,ZR-75-30,ZR-75-30,ZR-75-30,NA,NA,ZR7530,ZR-75-30,NA,ZR-75-30,ZR-75-30,ZR-75-30,zr7530,ZR7530,ZR-75-30,ZR-75-30,breast,breast,NA,NA,breast,Breast,NA,Breast,breast,breast ,NA,breast,breast,breast,breast,NA,breast,ZR7530,breast
780,1321N1,NA,1321N1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1321N1,NA,NA,central_nervous_system,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,central_nervous_system,NA,Brain,NA,NA,NA
781,143B,NA,143B,NA,NA,NA,143B,NA,NA,NA,NA,NA,NA,143B,NA,NA,bone,NA,NA,NA,Bone,NA,NA,NA,NA,NA,NA,bone,bone,NA,NA,NA,NA,NA
782,253J,NA,253J,NA,NA,NA,NA,NA,NA,253J,NA,NA,253J,NA,NA,NA,urinary_tract,NA,NA,NA,NA,NA,NA,urinary_tract,NA,NA,NA,urinary_tract,urinary_tract,urinary_tract,NA,NA,NA,NA
783,253J-BV,NA,253J-BV,NA,NA,NA,NA,NA,NA,253J-BV,NA,NA,253JBV,NA,NA,NA,urinary_tract,NA,NA,NA,NA,NA,NA,urinary_tract,NA,NA,NA,urinary_tract,urinary_tract,urinary_tract,NA,NA,NA,NA
784,42-MG-BA,NA,42-MG-BA,NA,NA,NA,NA,NA,42-MG-BA,42-MG-BA,42-MG-BA,NA,42MGBA,NA,42-MG-BA,NA,central_nervous_system,NA,NA,NA,NA,NA,Brain,central_nervous_system,NA,NA,NA,central_nervous_system,central_nervous_system,central_nervous_system,NA,central_nervous_system,42MGBA,central_nervous_system
785,59M,NA,59M,NA,NA,NA,59M,NA,NA,59M,NA,NA,NA,59M,NA,NA,ovary,NA,NA,NA,Ovary,NA,NA,ovary,NA,NA,NA,NA,ovary,NA,NA,NA,NA,NA
786,A1207,NA,A1207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,NA
787,ACC-MESO-1,NA,ACC-MESO-1,NA,NA,NA,NA,NA,NA,ACC-MESO-1,NA,NA,ACCMESO1,NA,NA,NA,pleura,NA,NA,NA,NA,NA,NA,pleura,NA,NA,NA,pleura,pleura,pleura,NA,NA,ACCMESO1,pleura
788,ACCS,NA,ACCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,urinary_tract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,urinary_tract,NA,NA,NA,NA,NA
789,Alexander cells,NA,Alexander cells,NA,NA,NA,NA,NA,NA,Alexander cells,NA,NA,NA,NA,NA,NA,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,liver,NA,NA,NA,NA,NA
790,ALL-SIL,NA,ALL-SIL,NA,NA,NA,NA,NA,ALL-SIL,ALL-SIL,ALL-SIL,NA,ALLSIL,NA,ALL-SIL,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,Blood,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue,NA,NA
791,AMO-1,NA,AMO-1,NA,NA,NA,AMO-1,AMO1,AMO-1,AMO-1,AMO-1,NA,AMO1,AMO-1,AMO-1,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,Blood,HEMATOPOIETIC_AND_LYMPHOID_TISSUE,Blood,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,Blood,haematopoietic_and_lymphoid_tissue,NA,NA
792,AZ-521,NA,AZ-521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,stomach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,stomach,stomach,NA,NA,NA,NA,NA
793,BC-3C,NA,BC-3C,NA,NA,NA,NA,NA,NA,BC-3C,NA,NA,BC3C,NA,NA,NA,urinary_tract,NA,NA,NA,NA,NA,NA,urinary_tract,NA,NA,NA,urinary_tract,urinary_tract,urinary_tract,NA,NA,BC3C,urinary_tract
794,BCP-1,NA,BCP-1,NA,NA,NA,NA,NA,NA,BCP-1,NA,NA,BCP1,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA
795,BDCM,NA,BDCM,BDCM,NA,NA,NA,NA,NA,BDCM,NA,NA,BDCM,NA,NA,NA,haematopoietic_and_lymphoid_tissue,hematopoietic_and_lymphatic_system,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA
796,BGC-823,NA,BGC-823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,stomach,NA,NA,NA,NA,NA
797,BICR 16,NA,BICR 16,NA,NA,NA,NA,NA,NA,BICR_16,NA,NA,BICR16,BICR 16,NA,NA,upper_aerodigestive_tract,NA,NA,NA,NA,NA,NA,upper_aerodigestive_tract,NA,NA,NA,NA,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,NA,BICR16,upper_aerodigestive_tract
798,BICR 18,NA,BICR 18,NA,NA,NA,NA,NA,NA,BICR_18,NA,NA,BICR18,NA,NA,NA,upper_aerodigestive_tract,NA,NA,NA,NA,NA,NA,upper_aerodigestive_tract,NA,NA,NA,NA,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,NA,BICR18,upper_aerodigestive_tract
799,BICR 22,NA,BICR 22,NA,NA,NA,BICR 22,NA,BICR22,BICR_22,BICR22,NA,BICR22,BICR 22,BICR22,NA,upper_aerodigestive_tract,NA,NA,NA,Tongue,NA,Head & Neck,upper_aerodigestive_tract,NA,NA,NA,NA,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,upper_aerodigestive_tract,BICR22,upper_aerodigestive_tract
800,BICR 31,NA,BICR 31,NA,NA,NA,BICR 31,NA,BICR31,BICR_31,BICR31,NA,BICR31,BICR 31,BICR31,NA,upper_aerodigestive_tract,NA,NA,NA,Tongue,NA,Head & Neck,upper_aerodigestive_tract,NA,NA,NA,NA,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,upper_aerodigestive_tract,BICR31,upper_aerodigestive_tract
801,BICR 56,NA,BICR 56,NA,NA,NA,NA,NA,NA,BICR_56,NA,NA,BICR56,NA,NA,NA,upper_aerodigestive_tract,NA,NA,NA,NA,NA,NA,upper_aerodigestive_tract,NA,NA,NA,NA,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,NA,BICR56,upper_aerodigestive_tract
802,BICR 6,NA,BICR 6,NA,NA,NA,NA,NA,NA,BICR_6,NA,NA,BICR6,NA,NA,NA,upper_aerodigestive_tract,NA,NA,NA,NA,NA,NA,upper_aerodigestive_tract,NA,NA,NA,NA,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,NA,BICR6,upper_aerodigestive_tract
803,BJ hTERT,NA,BJ hTERT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,skin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,skin,NA,NA,NA,NA,NA
804,BT-483,NA,BT-483,NA,NA,BT483,BT-483,NA,BT-483,BT-483,BT-483,bt483,NA,BT-483,BT-483,NA,breast,NA,NA,breast,Breast,NA,Breast,breast,NA,NA,breast,breast,breast,NA,NA,breast,NA,NA
805,CADO-ES1,NA,CADO-ES1,NA,NA,NA,NA,NA,CADO-ES1,CADO-ES1,CADO-ES1,NA,CADOES1,NA,CADO-ES1,NA,bone,NA,NA,NA,NA,NA,bone,bone,NA,NA,NA,bone,bone,bone,NA,bone,NA,NA
806,Caki-2,NA,Caki-2,CAKI2,NA,NA,Caki-2,NA,NA,Caki-2,NA,NA,CAKI2,Caki-2,NA,NA,kidney,kidney,NA,NA,Kidney,NA,NA,kidney,NA,NA,NA,kidney,kidney,kidney,Kidney,NA,CAKI2,kidney
807,CAL-29,NA,CAL-29,NA,NA,NA,NA,NA,CAL-29,CAL-29,CAL-29,NA,CAL29,NA,CAL-29,NA,urinary_tract,NA,NA,NA,NA,NA,Bladder,urinary_tract,NA,NA,NA,urinary_tract,urinary_tract,urinary_tract,NA,urinary_tract,NA,NA
808,CAL-78,NA,CAL-78,NA,NA,NA,NA,NA,CAL-78,CAL-78,CAL-78,NA,CAL78,NA,CAL-78,NA,bone,NA,NA,NA,NA,NA,Bone,soft_tissue,NA,NA,NA,soft_tissue,soft_tissue,bone,NA,soft_tissue,CAL78,bone
809,CCK-81,NA,CCK-81,NA,NA,NA,NA,NA,CCK-81,CCK-81,CCK-81,NA,CCK81,NA,CCK-81,NA,large_intestine,NA,NA,NA,NA,NA,Intestine,large_intestine,NA,NA,NA,large_intestine,large_intestine,large_intestine,NA,large_intestine,NA,NA
810,CH-157MN,NA,CH-157MN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,NA
811,CI-1,NA,CI-1,NA,NA,NA,CI-1,NA,NA,CI-1,NA,NA,CI1,CI-1,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,Lymph Node,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,Lymphoid,NA,NA,NA
812,CJM,NA,CJM,NA,NA,NA,NA,NA,NA,CJM,NA,NA,CJM,NA,NA,NA,skin,NA,NA,NA,NA,NA,NA,skin,NA,NA,NA,skin,skin,skin,NA,NA,CJM,skin
813,CL-11,NA,CL-11,NA,NA,NA,CL-11,NA,CL-11,CL-11,CL-11,NA,CL11,CL-11,CL-11,NA,large_intestine,NA,NA,NA,Colon,NA,Intestine,large_intestine,NA,NA,NA,NA,large_intestine,large_intestine,NA,large_intestine,CL11,large_intestine
814,CL-14,NA,CL-14,NA,NA,NA,NA,NA,NA,CL-14,NA,NA,NA,NA,NA,NA,large_intestine,NA,NA,NA,NA,NA,NA,large_intestine,NA,NA,NA,NA,large_intestine,NA,NA,NA,NA,NA
815,CL-34,NA,CL-34,NA,NA,NA,CL-34,CL34,CL-34,CL-34,NA,NA,CL34,CL-34,CL-34,NA,large_intestine,NA,NA,NA,Colon,LARGE_INTESTINE,large_intestine,large_intestine,NA,NA,NA,NA,large_intestine,large_intestine,NA,large_intestine,CL34,large_intestine
816,CL-40,NA,CL-40,NA,NA,NA,CL-40,CL40,CL-40,CL-40,CL-40,NA,NA,CL-40,CL-40,NA,large_intestine,NA,NA,NA,Colon,LARGE_INTESTINE,Intestine,large_intestine,NA,NA,NA,NA,large_intestine,NA,NA,large_intestine,NA,NA
817,CMK-11-5,NA,CMK-11-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA
818,CMK-86,NA,CMK-86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA
819,COLO 201,NA,COLO 201,COLO201,NA,NA,COLO 201,NA,NA,COLO_201,NA,NA,COLO201,COLO 201,NA,NA,large_intestine,colon,NA,NA,Colon,NA,NA,large_intestine,NA,NA,NA,NA,large_intestine,large_intestine,Colon,NA,NA,NA
820,COLO 775,NA,COLO 775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA
821,COLO-677,NA,COLO-677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,lung,NA,NA,NA,NA,NA
822,COLO-699,NA,COLO-699,NA,NA,NA,COLO 699,COLO699,NA,NA,NA,NA,COLO699,COLO 699,NA,NA,NA,NA,NA,NA,Lung,LUNG,NA,NA,NA,NA,NA,lung,lung,NA,NA,NA,COLO699,NA
823,COLO-704,NA,COLO-704,COLO704,NA,NA,COLO-704,NA,NA,NA,NA,NA,NA,COLO-704,NA,NA,ovary,ovary,NA,NA,Ovary,NA,NA,NA,NA,NA,NA,ovary,ovary,NA,NA,NA,NA,NA
824,COLO-783,NA,COLO-783,NA,NA,NA,COLO-783,NA,COLO-783,COLO-783,COLO-783,NA,NA,COLO 783,COLO-783,NA,skin,NA,NA,NA,Skin,NA,Skin,skin,NA,NA,NA,NA,skin,NA,NA,skin,COLO783,skin
825,COLO-818,NA,COLO-818,NA,NA,NA,COLO-818,NA,NA,NA,NA,NA,NA,COLO-818,NA,NA,skin,NA,NA,NA,Skin,NA,NA,NA,NA,NA,NA,NA,skin,NA,NA,NA,NA,NA
826,COLO-849,NA,COLO-849,NA,NA,NA,COLO 849,NA,NA,NA,NA,NA,NA,COLO-849,NA,NA,skin,NA,NA,NA,Skin,NA,NA,NA,NA,NA,NA,skin,skin,NA,NA,NA,NA,NA
827,COR-L24,NA,COR-L24,NA,NA,NA,NA,NA,NA,COR-L24,NA,NA,NA,NA,NA,NA,lung,NA,NA,NA,NA,NA,NA,lung,NA,NA,NA,NA,lung,NA,NA,NA,NA,NA
828,COR-L311,NA,COR-L311,NA,NA,NA,NA,NA,COR-L311,COR-L311,COR-L311,NA,NA,NA,COR-L311,NA,lung,NA,NA,NA,NA,NA,Lung,lung,NA,NA,NA,lung,lung,NA,NA,lung,NA,NA
829,COR-L47,NA,COR-L47,NA,NA,NA,COR-L47,NA,NA,COR-L47,NA,NA,CORL47,COR-L47,NA,NA,lung,NA,NA,NA,Lung,NA,NA,lung,NA,NA,NA,lung,lung,lung,NA,NA,NA,NA
830,COR-L95,NA,COR-L95,NA,NA,NA,NA,NA,COR-L95,COR-L95,COR-L95,NA,CORL95,NA,COR-L95,NA,lung,NA,NA,NA,NA,NA,Lung,lung,NA,NA,NA,NA,lung,lung,NA,lung,NA,NA
831,COV318,NA,COV318,NA,NA,NA,COV318,COV318,NA,COV318,NA,NA,NA,COV318,NA,NA,ovary,NA,NA,NA,Ovary,OVARY,NA,ovary,NA,NA,NA,NA,ovary,NA,Ovary,NA,COV318,ovary
832,COV362,NA,COV362,NA,NA,NA,COV362,COV362,NA,COV362,NA,NA,COV362,COV362,NA,NA,ovary,NA,NA,NA,Ovary,OVARY,NA,ovary,NA,NA,NA,NA,ovary,ovary,NA,NA,COV362,ovary
833,COV434,NA,COV434,NA,NA,NA,COV434,COV434,NA,COV434,NA,NA,COV434,COV434,NA,NA,ovary,NA,NA,NA,Ovary,OVARY,NA,ovary,NA,NA,NA,ovary,ovary,ovary,NA,NA,COV434,ovary
834,COV504,NA,COV504,NA,NA,NA,COV504,NA,NA,NA,NA,NA,NA,COV504,NA,NA,ovary,NA,NA,NA,Ovary,NA,NA,NA,NA,NA,NA,NA,ovary,NA,Ovary,NA,NA,NA
835,COV644,NA,COV644,NA,NA,NA,COV644,COV644,NA,COV644,NA,NA,COV644,COV644,NA,NA,ovary,NA,NA,NA,Ovary,OVARY,NA,ovary,NA,NA,NA,NA,ovary,ovary,NA,NA,COV644,ovary
836,D341 Med,NA,D341 Med,D341MED,NA,NA,NA,NA,NA,D341_Med,NA,NA,NA,NA,NA,NA,central_nervous_system,brain,NA,NA,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,NA
837,DAN-G,NA,DAN-G,NA,NA,NA,DAN-G,NA,DAN-G,DAN-G,DAN-G,NA,DANG,DAN-G,DAN-G,NA,pancreas,NA,NA,NA,Pancreas,NA,Pancreas,pancreas,NA,NA,NA,pancreas,pancreas,pancreas,NA,pancreas,DANG,pancreas
838,DFCI024,NA,DFCI024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,lung,NA,NA,NA,NA,NA
839,DLD-1,NA,DLD-1,DLD1,NA,NA,DLD-1,DLD1,NA,NA,NA,NA,DLD1,DLD-1,NA,NA,large_intestine,colon,NA,NA,Colon,LARGE_INTESTINE,NA,NA,NA,NA,NA,large_intestine,large_intestine,large_intestine,NA,NA,DLD1,large_intestine
840,DM-3,NA,DM-3,NA,NA,NA,NA,NA,NA,DM-3,NA,NA,NA,NA,NA,NA,pleura,NA,NA,NA,NA,NA,NA,pleura,NA,NA,NA,NA,pleura,NA,NA,NA,DM3,pleura
841,DMS 454,NA,DMS 454,NA,NA,NA,DMS 454,NA,NA,DMS_454,NA,NA,DMS454,DMS 454,NA,NA,lung,NA,NA,NA,Lung,NA,NA,lung,NA,NA,NA,NA,lung,lung,NA,NA,NA,NA
842,DND-41,NA,DND-41,NA,NA,NA,NA,NA,DND-41,DND-41,NA,NA,DND41,NA,DND-41,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,Blood,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue,NA,NA
843,DOV13,NA,DOV13,NA,NA,NA,NA,NA,DOV13,NA,NA,NA,DOV13,NA,DOV13,NA,NA,NA,NA,NA,NA,NA,ovary,NA,NA,NA,NA,NA,ovary,NA,NA,ovary,NA,NA
844,EB1,NA,EB1,EB1,NA,NA,EB1,NA,NA,EB1,NA,NA,EB1,EB1,NA,NA,haematopoietic_and_lymphoid_tissue,hematopoietic_and_lymphatic_system,NA,NA,Lymph Node,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,Lymphoid,NA,NA,NA
845,EBC-1,NA,EBC-1,NA,NA,NA,EBC-1,EBC1,EBC-1,EBC-1,EBC-1,NA,EBC1,EBC-1,EBC-1,NA,lung,NA,NA,NA,Lung,LUNG,Lung:NSCLC,lung,NA,NA,NA,lung,lung,lung,NA,lung,EBC1,lung
846,EFM-192A,NA,EFM-192A,NA,NA,EFM192A,EFM-192A,NA,EFM-192A,EFM-192A,EFM-192A,efm192a,EFM192A,EFM-192A,EFM-192A,NA,breast,NA,NA,breast,Breast,NA,Breast,breast,NA,NA,breast,breast,breast,breast,NA,breast,EFM192A,breast
847,EJM,NA,EJM,NA,NA,NA,EJM,EJM,EJM,EJM,EJM,NA,EJM,EJM,EJM,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,Blood,HEMATOPOIETIC_AND_LYMPHOID_TISSUE,Blood,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue,NA,NA
848,EN,NA,EN,NA,NA,NA,NA,NA,EN,EN,EN,NA,EN,NA,EN,NA,endometrium,NA,NA,NA,NA,NA,Uterus,endometrium,NA,NA,NA,endometrium,endometrium,endometrium,NA,endometrium,NA,NA
849,ES-2,NA,ES-2,ES2,NA,NA,ES-2,NA,ES-2,ES-2,ES-2,NA,ES2,ES-2,ES-2,NA,ovary,ovary,NA,NA,Ovary,NA,Ovary,ovary,NA,NA,NA,ovary,ovary,ovary,Ovary,ovary,ES2,ovary
850,EW8,NA,EW8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bone,NA,NA,NA,NA,NA
851,EWS502,NA,EWS502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bone,NA,NA,NA,NA,NA
852,F-36P,NA,F-36P,NA,NA,NA,NA,NA,NA,F-36P,NA,NA,F36P,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA
853,F5,NA,F5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,NA
854,FTC-238,NA,FTC-238,NA,NA,NA,NA,NA,NA,FTC-238,NA,NA,FTC238,FTC-238,NA,NA,thyroid,NA,NA,NA,NA,NA,NA,thyroid,NA,NA,NA,NA,thyroid,thyroid,NA,NA,FTC238,thyroid
855,FU-OV-1,NA,FU-OV-1,NA,NA,NA,NA,NA,FU-OV-1,FU-OV-1,FU-OV-1,NA,FUOV1,NA,FU-OV-1,NA,ovary,NA,NA,NA,NA,NA,Ovary,ovary,NA,NA,NA,ovary,ovary,ovary,NA,ovary,FUOV1,ovary
856,FU97,NA,FU97,NA,NA,NA,FU97,FU97,FU97,FU97,NA,NA,FU97,FU97,FU97,NA,stomach,NA,NA,NA,Stomach,STOMACH,Stomach,stomach,NA,NA,NA,stomach,stomach,stomach,Stomach,stomach,NA,NA
857,"G-292, clone A141B1",NA,"G-292, clone A141B1",NA,NA,NA,NA,NA,G-292-Clone-A141B1,"G-292,_clone_A141B1",G-292_Clone_A141B1,NA,G292CLONEA141B1,NA,G-292 Clone A141B1,NA,bone,NA,NA,NA,NA,NA,Bone,bone,NA,NA,NA,NA,bone,bone,NA,bone,G292CLONEA141B1,NA
858,GA-10,NA,GA-10,GA10,NA,NA,GA-10,NA,GA-10,GA-10,GA-10,NA,GA10,GA-10,GA-10,NA,haematopoietic_and_lymphoid_tissue,hematopoietic_and_lymphatic_system,NA,NA,Blood,NA,Blood,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue,NA,NA
859,GLC-82,NA,GLC-82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,lung,NA,NA,NA,NA,NA
